batch,case,q,phase,completed_calls,started_calls,generate_s,evaluate_s,wall_s,historical_reuses,peak_mib,status
FINAL_accelerated,case_001,3,baseline_1,1,1,0,0.10961939999924653,0.3591685999999754,0,35.234375,complete
FINAL_accelerated,case_001,3,search_1,4,4,0.33514610000111134,0.46236899999985326,1.1583448999999746,6,33.96875,complete
FINAL_accelerated,case_003,1,baseline_1,1,1,0,28.760307500000636,29.391914400000132,0,244.546875,complete
FINAL_accelerated,case_003,1,search_1,16,16,43.520957100002306,670.1998831999981,714.8993129,6,391.50390625,complete
FINAL_accelerated,case_003,2,baseline_1,1,1,0,5.6482773999996425,6.211232599999676,0,245.05859375,complete
FINAL_accelerated,case_003,2,search_1,16,16,22.601820800001406,115.62041950000093,139.75206759999946,6,372.23046875,complete
FINAL_accelerated,case_003,3,baseline_1,1,1,0,5.518892099999903,6.060564299999896,0,244.13671875,complete
FINAL_accelerated,case_003,3,search_1,28,28,30.73641889999999,197.930070899999,230.65105070000027,6,412.87109375,complete
FINAL_accelerated,case_004,1,baseline_1,1,1,0,0.20522660000006,0.4954017999998541,0,37.41015625,complete
FINAL_accelerated,case_004,1,search_1,8,8,0.14658480000070995,1.3795707000008406,1.873990699999922,6,35.8203125,complete
FINAL_accelerated,case_004,2,baseline_1,1,1,0,0.1130366999996113,0.4077748999998221,0,36.9453125,complete
FINAL_accelerated,case_004,2,search_1,4,4,0.2214895000033721,0.5091137999997954,1.048900899999353,6,36.0859375,complete
FINAL_accelerated,case_004,3,baseline_1,1,1,0,0.14613780000036058,0.4013046000000031,0,37.28515625,complete
FINAL_accelerated,case_004,3,search_1,4,4,0.2716838000014832,0.5458742000000711,1.175726599999507,6,35.9375,complete
FINAL_accelerated,case_005,1,baseline_1,1,1,0,2.1159130999994886,2.408886299999722,0,88.1171875,complete
FINAL_accelerated,case_005,1,search_1,16,16,5.563737699999365,50.732027999999445,56.94539370000075,6,139.1796875,complete
FINAL_accelerated,case_005,2,baseline_1,1,1,0,0.7339357000000746,1.0139611000004152,0,87.953125,complete
FINAL_accelerated,case_005,2,search_1,16,16,2.8952470000003814,21.630640200000926,25.27754879999975,6,117.23828125,complete
FINAL_accelerated,case_005,3,baseline_1,1,1,0,0.8302862000000459,1.1743091000007553,0,87.5703125,complete
FINAL_accelerated,case_005,3,search_1,28,28,3.5673385000000053,34.15984110000227,38.53488279999965,6,129.1171875,complete
FINAL_accelerated,case_007,1,baseline_1,1,1,0,2.6918894000000364,2.9244248999993943,0,98.9453125,complete
FINAL_accelerated,case_007,1,search_1,12,12,0.6686965999988388,32.40004409999892,33.599030099999254,6,86.9765625,complete
FINAL_accelerated,case_007,2,baseline_1,1,1,0,1.0408056999995097,1.33257279999998,0,98.7421875,complete
FINAL_accelerated,case_007,2,search_1,4,4,1.2556682999993427,2.896046099999694,4.617480099999739,6,86.015625,complete
FINAL_accelerated,case_007,3,baseline_1,1,1,0,1.0787562000004982,1.379496200000176,0,98.6484375,complete
