q,k,comparison,group_type,group,cases,mean_ratio,median_ratio,min_ratio,worst_case,faster,equal,slower
1,5,单核基准,计算关键路径,第3四分位，6300—23904,25,2.961778395055887,3.5009378663540445,1.0,case_047,23,2,0
1,5,单核基准,计算关键路径,第4四分位，27474—863040,25,2.7699843324600453,2.3910527029470257,1.4797764752330913,case_088,25,0,0
1,5,单核基准,弱连通分量,单分量,16,1.9078319297348307,1.927832110191276,1.0,case_047,11,5,0
1,5,单核基准,弱连通分量,多分量,84,3.8698339668421284,4.265340575705352,1.1681699646538903,case_056,84,0,0
2,1,单核基准,计算节点规模,第1四分位，552—1098,25,1.0,1.0,1.0,case_001,0,25,0
2,1,单核基准,计算节点规模,第2四分位，1115—3696,25,1.0,1.0,1.0,case_002,0,25,0
2,1,单核基准,计算节点规模,第3四分位，3745—7008,25,1.0,1.0,1.0,case_005,0,25,0
2,1,单核基准,计算节点规模,第4四分位，7360—35705,25,1.0,1.0,1.0,case_003,0,25,0
2,1,单核基准,计算关键路径,第1四分位，400—2484,25,1.0,1.0,1.0,case_001,0,25,0
2,1,单核基准,计算关键路径,第2四分位，2506—5980,25,1.0,1.0,1.0,case_002,0,25,0
2,1,单核基准,计算关键路径,第3四分位，6300—23904,25,1.0,1.0,1.0,case_005,0,25,0
2,1,单核基准,计算关键路径,第4四分位，27474—863040,25,1.0,1.0,1.0,case_003,0,25,0
2,1,单核基准,弱连通分量,单分量,16,1.0,1.0,1.0,case_002,0,16,0
2,1,单核基准,弱连通分量,多分量,84,1.0,1.0,1.0,case_001,0,84,0
2,2,单核基准,计算节点规模,第1四分位，552—1098,25,1.9979136421602817,1.9962049568912579,1.4821102269378132,case_069,25,0,0
2,2,单核基准,计算节点规模,第2四分位，1115—3696,25,2.0492239501975384,2.000489355392663,1.742232396961168,case_048,25,0,0
2,2,单核基准,计算节点规模,第3四分位，3745—7008,25,1.9386029716174766,1.9769248980912175,1.6053555691139583,case_086,25,0,0
2,2,单核基准,计算节点规模,第4四分位，7360—35705,25,1.9769255833355754,1.9987166030618373,1.8157717482631346,case_062,25,0,0
2,2,单核基准,计算关键路径,第1四分位，400—2484,25,1.975715091133297,1.9984469952734638,1.4821102269378132,case_069,25,0,0
2,2,单核基准,计算关键路径,第2四分位，2506—5980,25,2.001714808592111,2.004173910690488,1.6990489734245844,case_064,25,0,0
2,2,单核基准,计算关键路径,第3四分位，6300—23904,25,1.9630958437259716,1.9581082465520536,1.6053555691139583,case_086,25,0,0
2,2,单核基准,计算关键路径,第4四分位，27474—863040,25,2.022140403859493,1.989116999504368,1.742232396961168,case_048,25,0,0
2,2,单核基准,弱连通分量,单分量,16,1.7922965991395632,1.8553736080111656,1.4821102269378132,case_069,16,0,0
2,2,单核基准,弱连通分量,多分量,84,2.028451286863557,2.0006006167845567,1.7885969355916276,case_088,84,0,0
2,3,单核基准,计算节点规模,第1四分位，552—1098,25,2.8083967594950194,2.9603645020934244,1.5318630437431462,case_069,25,0,0
2,3,单核基准,计算节点规模,第2四分位，1115—3696,25,2.9170664961265214,2.961747264186274,2.167830861088618,case_088,25,0,0
2,3,单核基准,计算节点规模,第3四分位，3745—7008,25,2.7113240333486295,2.937178635212028,1.6112496629819357,case_005,25,0,0
2,3,单核基准,计算节点规模,第4四分位，7360—35705,25,2.803866392879994,2.9197494775959574,2.2649007163452506,case_056,25,0,0
2,3,单核基准,计算关键路径,第1四分位，400—2484,25,2.8656162637210087,2.98750438591527,1.5318630437431462,case_069,25,0,0
2,3,单核基准,计算关键路径,第2四分位，2506—5980,25,2.9233064869063656,2.984867684057811,1.6990489734245844,case_064,25,0,0
