case,q,k,selected,effective_origin,seed_makespan,selected_makespan,cycles_saved,fraction_saved,added_copy_bytes
case_031,1,4,local,local,395151,378276,16875,0.04270519371075865,8016384
case_031,1,5,local,local,323090,310008,13082,0.040490265870191,8094720
case_031,2,2,a4_b0,a4_b0,937329,728586,208743,0.22269982044724956,3079680
case_031,2,3,traffic_price,traffic_price,490500,481540,8960,0.018267074413863438,2380800
case_031,2,4,a4_b0,a4_b0,602159,378404,223755,0.37158790286286514,5426688
case_031,2,5,traffic_price,traffic_price,307978,302436,5542,0.017994791835780455,5707776
case_031,3,2,a4_b0,a4_b0,937778,728180,209598,0.22350492334006555,3079680
case_031,3,3,cache_price,cache_price,490500,481540,8960,0.018267074413863438,2380800
case_031,3,4,a4_b0,a4_b0,598456,378324,220132,0.36783322416351416,5426688
case_031,3,5,traffic_price,traffic_price,307946,302436,5510,0.017892747429744227,5707776
case_032,1,2,budget_0.05,budget_0.05,29124,21876,7248,0.24886691388545534,98388
case_032,1,3,budget_0.05,budget_0.05,24775,15192,9583,0.3868012108980827,129154
case_032,1,4,budget_0.05,budget_0.05,19493,12254,7239,0.37136407941312266,137320
case_032,1,5,inherit_previous_core,budget_0.05,16487,12254,4233,0.25674774064414385,137320
case_032,2,2,a2_b1,a2_b1,18894,18894,0,0.0,14432
case_032,2,3,pipeline_finish,pipeline_finish,14932,13868,1064,0.07125636217519427,154018
case_032,2,4,a2_b1,a2_b1,12130,12130,0,0.0,186768
case_032,2,5,a2_b1,a2_b1,10734,10734,0,0.0,205288
case_032,3,2,a2_b1,a2_b1,18816,18816,0,0.0,14432
case_032,3,3,pipeline_finish,pipeline_finish,14609,13841,768,0.052570333356150356,154018
case_032,3,4,a4_b0,a4_b0,11888,11733,155,0.013038358008075401,337786
case_032,3,5,a2_b1,a2_b1,10213,10213,0,0.0,205288
case_033,1,2,local,local,911971,886881,25090,0.027511839740518074,6258208
case_033,1,3,local,local,612032,588333,23699,0.038721831538220175,7802400
case_033,1,4,local,local,461610,449493,12117,0.026249431338142615,7835712
case_033,1,5,local,local,374952,356498,18454,0.04921696643837081,7785024
case_033,2,2,a4_b0,a4_b0,1216364,897926,318438,0.2617949890000033,5808672
case_033,2,3,a4_b0,a4_b0,895217,595039,300178,0.33531311402710184,6659616
case_033,2,4,a4_b0,a4_b0,756593,452445,304148,0.4019968463890097,7563840
case_033,2,5,a4_b0,a4_b0,680499,373209,307290,0.4515656892956492,7717920
case_033,3,2,a4_b0,a4_b0,1216899,896998,319901,0.26288212908384345,5808672
case_033,3,3,a4_b0,a4_b0,893773,594827,298946,0.3344764274597689,6659616
case_033,3,4,a4_b0,a4_b0,752684,452000,300684,0.3994823857023665,7563840
case_033,3,5,a4_b0,a4_b0,671598,370507,301091,0.4483202749263696,7717920
case_034,1,2,local,local,456296,423426,32870,0.07203657275102127,1650176
case_034,1,3,local,local,308275,283861,24414,0.07919552347741465,2672128
case_034,1,4,local,local,234663,214744,19919,0.08488342857629882,3232256
case_034,1,5,local,local,197927,173474,24453,0.12354554962183029,3403776
case_034,2,2,a2_b1,a2_b1,414877,414877,0,0.0,1041920
case_034,2,3,traffic_price,traffic_price,276253,274231,2022,0.007319377527121862,2109440
case_034,2,4,release_order_8,release_order_8,209274,205866,3408,0.0162848705524814,3174912
case_034,2,5,release_order_8,release_order_8,168748,166312,2436,0.014435726645649183,3354624
case_034,3,2,cache_order_2,cache_order_2,414877,410533,4344,0.010470573206034506,1041920
case_034,3,3,cache_order_2,cache_order_2,275744,273858,1886,0.0068396773819194845,2477056
case_034,3,4,release_order_8,release_order_8,209274,205866,3408,0.0162848705524814,3174912
case_034,3,5,release_order_8,release_order_8,168748,164413,4335,0.025689193353402695,3354624
case_035,1,2,budget_0.10,budget_0.10,234435,114791,119644,0.5103504169599249,1210062
case_035,1,3,inherit_previous_core,budget_0.10,172440,114791,57649,0.33431338436557645,1210062
case_035,1,4,inherit_previous_core,budget_0.10,145410,114791,30619,0.21057011209682963,1210062
case_035,1,5,inherit_previous_core,budget_0.10,128371,114791,13580,0.10578713260783201,1210062
case_035,2,2,a4_b0,a4_b0,99694,97946,1748,0.017533652978113046,891886
case_035,2,3,a2_b1,a2_b1,72735,72735,0,0.0,1116552
case_035,2,4,a4_b0,a4_b0,62577,61142,1435,0.022931748086357562,1442526
case_035,2,5,a4_b0,a4_b0,52957,52296,661,0.01248182487678684,1481128
case_035,3,2,a4_b0,a4_b0,99694,97946,1748,0.017533652978113046,891886
case_035,3,3,a2_b1,a2_b1,72690,72690,0,0.0,1116552
case_035,3,4,a4_b0,a4_b0,61956,60541,1415,0.022838788817870714,1442526
case_035,3,5,a4_b0,a4_b0,51327,50743,584,0.011378027159195003,1481128
case_036,1,2,local,local,692700,466068,226632,0.3271719359029883,1152
case_036,1,3,local,local,504372,311345,193027,0.3827076047044642,2304
case_036,1,4,local,local,409500,233584,175916,0.42958730158730163,3456
case_036,1,5,local,local,352860,187182,165678,0.4695289916680837,4608
case_036,2,2,a2_b1,a2_b1,466068,466068,0,0.0,1152
case_036,2,3,a2_b1,a2_b1,311345,311345,0,0.0,2304
case_036,2,4,a2_b1,a2_b1,233584,233584,0,0.0,3456
case_036,2,5,a2_b1,a2_b1,187182,187182,0,0.0,4608
case_036,3,2,a2_b1,a2_b1,466068,466068,0,0.0,1152
case_036,3,3,a2_b1,a2_b1,311345,311345,0,0.0,2304
case_036,3,4,a2_b1,a2_b1,233584,233584,0,0.0,3456
case_036,3,5,a2_b1,a2_b1,187182,187182,0,0.0,4608
case_037,1,2,local,local,111440,105374,6066,0.05443287867910984,204800
case_037,1,3,local,local,79016,74038,4978,0.06299989875468259,1064960
case_037,1,4,local,local,57400,53320,4080,0.07108013937282232,614400
case_037,1,5,local,local,46592,43800,2792,0.0599244505494505,1925120
case_037,2,2,a2_b1,a2_b1,105374,105374,0,0.0,204800
case_037,2,3,traffic_price,traffic_price,74038,74038,0,0.0,573440
case_037,2,4,a2_b1,a2_b1,53320,53320,0,0.0,614400
case_037,2,5,traffic_price,traffic_price,43800,43013,787,0.017968036529680376,942080
case_037,3,2,a2_b1,a2_b1,105374,105374,0,0.0,204800
case_037,3,3,traffic_price,traffic_price,74038,74038,0,0.0,573440
case_037,3,4,a2_b1,a2_b1,53320,53320,0,0.0,614400
case_037,3,5,traffic_price,traffic_price,43013,43013,0,0.0,942080
case_038,1,2,local,local,703874,675678,28196,0.04005830588997461,6094848
case_038,1,3,local,local,472170,452978,19192,0.04064637736408494,7947264
case_038,1,4,local,local,355622,346014,9608,0.027017451113823143,8647680
case_038,1,5,local,local,320780,276537,44243,0.13792318723112418,8480256
case_038,2,2,a4_b0,a4_b0,741859,677089,64770,0.08730769593682897,1952256
case_038,2,3,a4_b0,a4_b0,669155,454987,214168,0.32005738580747356,4875264
case_038,2,4,a4_b0,a4_b0,376081,344424,31657,0.08417601527330554,6228992
case_038,2,5,a4_b0,a4_b0,491542,280533,211009,0.42927969532613697,7446016
case_038,3,2,a4_b0,a4_b0,740561,677089,63472,0.08570799704548304,1952256
case_038,3,3,a4_b0,a4_b0,664397,454314,210083,0.316201006326037,4875264
case_038,3,4,a4_b0,a4_b0,374886,344229,30657,0.08177686016549035,6228992
case_038,3,5,a4_b0,a4_b0,450214,279410,170804,0.379384026263066,7446016
case_039,1,2,local,local,715580,708561,7019,0.00980882640655134,11067392
case_039,1,3,local,local,581802,485565,96237,0.16541194426969996,14323712
case_039,1,4,local,local,569788,395323,174465,0.3061928296138213,17604608
case_039,1,5,inherit_previous_core,local,562938,395323,167615,0.2977503739310545,17604608
case_039,2,2,a4_b0,a4_b0,1157139,708561,448578,0.38766129220430734,11067392
case_039,2,3,a4_b0,a4_b0,890073,485565,404508,0.4544660943540586,14323712
case_039,2,4,a4_b0,a4_b0,765603,395323,370280,0.4836449177968216,17604608
case_039,2,5,inherit_previous_core,a4_b0,866841,395323,471518,0.5439498131721965,17604608
case_039,3,2,a4_b0,a4_b0,1157478,705615,451863,0.39038582158796975,11067392
case_039,3,3,a4_b0,a4_b0,870911,483226,387685,0.44514881543579077,14323712
case_039,3,4,a4_b0,a4_b0,743092,368055,375037,0.5046979378058167,17604608
case_039,3,5,a4_b0,a4_b0,701316,340476,360840,0.5145184196567596,20480000
case_040,1,2,budget_0.05,budget_0.05,287026,152827,134199,0.4675499780507689,1980186
case_040,1,3,budget_0.10,budget_0.10,203225,116123,87102,0.42859884364620493,2570512
case_040,1,4,budget_0.10,budget_0.10,165281,113575,51706,0.3128369262044639,2596616
case_040,1,5,inherit_previous_core,budget_0.10,138855,113575,25280,0.18206042274314937,2596616
case_040,2,2,a2_b1,a2_b1,135929,135929,0,0.0,1411658
case_040,2,3,a2_b1,a2_b1,100046,100046,0,0.0,2121556
case_040,2,4,a2_b1,a2_b1,84726,84726,0,0.0,2172382
case_040,2,5,a2_b1,a2_b1,74343,74343,0,0.0,2347218
case_040,3,2,a2_b1,a2_b1,135139,135139,0,0.0,1411658
case_040,3,3,a2_b1,a2_b1,98402,98402,0,0.0,2121556
case_040,3,4,a2_b1,a2_b1,81765,81765,0,0.0,2172382
case_040,3,5,a2_b1,a2_b1,69974,69974,0,0.0,2347218
case_041,1,2,local,local,3093849,2989675,104174,0.03367132655795424,30726144
case_041,1,3,local,local,2065344,2001573,63771,0.03087669656967551,34996224
case_041,1,4,local,local,1552262,1499364,52898,0.03407801002665789,34541568
case_041,1,5,local,local,1246370,1202006,44364,0.03559456662146876,38206464
case_041,2,2,a4_b0,a4_b0,4374354,3037915,1336439,0.30551688317863623,19049472
case_041,2,3,a4_b0,a4_b0,3250582,2044531,1206051,0.371026173159145,26007552
case_041,2,4,a4_b0,a4_b0,2738644,1514310,1224334,0.4470584712726444,24136704
case_041,2,5,a4_b0,a4_b0,2512569,1211289,1301280,0.5179081649100981,28919808
case_041,3,2,a4_b0,a4_b0,4368939,3037915,1331024,0.3046561190256948,19049472
case_041,3,3,a4_b0,a4_b0,3246334,2041681,1204653,0.37108104095265615,26007552
case_041,3,4,a4_b0,a4_b0,2734810,1512169,1222641,0.447066158160896,24136704
case_041,3,5,a4_b0,a4_b0,2447429,1208366,1239063,0.5062712748766154,28919808
case_042,1,2,budget_0.10,budget_0.10,856688,853864,2824,0.0032964159647386193,16545792
case_042,1,3,local,local,577394,567777,9617,0.016655871034337077,8715840
case_042,1,4,local,local,436981,420622,16359,0.03743641027870781,8479584
case_042,1,5,local,local,351977,348171,3806,0.010813206544745824,9702528
case_042,2,2,a2_b1,a2_b1,858152,858152,0,0.0,14092244
case_042,2,3,a4_b0,a4_b0,580768,572820,7948,0.013685327015262594,8503872
case_042,2,4,a4_b0,a4_b0,488231,433769,54462,0.11154965579817755,5631840
case_042,2,5,a4_b0,a4_b0,550380,347175,203205,0.3692085468221956,9112416
case_042,3,2,release_order_8,release_order_8,855936,850810,5126,0.0059887655151786845,14026708
case_042,3,3,release_order_8,release_order_8,572814,562984,9830,0.01716089341391791,26970252
case_042,3,4,a4_b0,a4_b0,452253,433342,18911,0.041815090226046014,5631840
case_042,3,5,a4_b0,a4_b0,443458,346550,96908,0.21852802294693074,9112416
case_043,1,2,budget_0.10,budget_0.10,902025,459650,442375,0.4904243230509132,11159912
case_043,1,3,budget_0.10,budget_0.10,633876,392365,241511,0.3810066953158031,11162596
case_043,1,4,inherit_previous_core,budget_0.10,507811,392365,115446,0.22734048691343822,11162596
case_043,1,5,inherit_previous_core,budget_0.10,442376,392365,50011,0.11305088883664571,11162596
case_043,2,2,a2_b1,a2_b1,364212,364212,0,0.0,7326336
case_043,2,3,a2_b1,a2_b1,289491,289491,0,0.0,11372480
case_043,2,4,traffic_price,traffic_price,270903,265438,5465,0.02017327235209654,8499186
case_043,2,5,traffic_price,traffic_price,276333,243394,32939,0.11920038504268404,9313580
case_043,3,2,cache_order_1,cache_order_1,363123,362760,363,0.0009996612718005116,7326336
case_043,3,3,a2_b1,a2_b1,279557,279557,0,0.0,11372480
case_043,3,4,a2_b1,a2_b1,246150,246150,0,0.0,12449400
case_043,3,5,traffic_price,traffic_price,239032,232507,6525,0.027297600321295912,9313580
case_044,1,2,local,local,181628,131105,50523,0.2781674631664721,4672992
case_044,1,3,local,local,177511,123553,53958,0.3039698948234194,5161216
case_044,1,4,inherit_previous_core,local,175649,123553,52096,0.2965914978166685,5161216
case_044,1,5,inherit_previous_core,local,175986,123553,52433,0.2979384723784847,5161216
case_044,2,2,traffic_price,traffic_price,63095,59357,3738,0.059243997147159,696160
case_044,2,3,traffic_price,traffic_price,66640,51446,15194,0.22800120048019212,677568
case_044,2,4,traffic_price,traffic_price,76343,45168,31175,0.4083544005344302,679712
case_044,2,5,inherit_previous_core,traffic_price,86188,45168,41020,0.4759363252424932,679712
case_044,3,2,traffic_price,traffic_price,58071,57307,764,0.013156308656644411,696160
case_044,3,3,cache_price,cache_price,58725,49196,9529,0.16226479352916134,1510848
case_044,3,4,traffic_price,traffic_price,69126,41935,27191,0.3933541648583746,679712
case_044,3,5,traffic_price,traffic_price,81426,41680,39746,0.4881241863778154,1561984
case_045,1,2,local,local,74059,63059,11000,0.14853022590097087,0
case_045,1,3,local,local,53539,42601,10938,0.20429966939987676,0
case_045,1,4,local,local,39778,31878,7900,0.1986022424455729,0
case_045,1,5,local,local,35702,26164,9538,0.2671559016301608,0
case_045,2,2,a2_b1,a2_b1,63059,63059,0,0.0,0
case_045,2,3,a2_b1,a2_b1,42601,42601,0,0.0,0
case_045,2,4,a2_b1,a2_b1,31878,31878,0,0.0,0
case_045,2,5,a2_b1,a2_b1,26164,26164,0,0.0,0
case_045,3,2,a2_b1,a2_b1,63059,63059,0,0.0,0
case_045,3,3,a2_b1,a2_b1,42601,42601,0,0.0,0
case_045,3,4,a2_b1,a2_b1,31878,31878,0,0.0,0
case_045,3,5,a2_b1,a2_b1,26164,26164,0,0.0,0
case_046,1,2,fine,fine,158876,158876,0,0.0,6512800
case_046,1,3,local,local,149740,142176,7564,0.05051422465607047,4021280
case_046,1,4,local,local,140604,124612,15992,0.11373787374470146,4513952
case_046,1,5,inherit_previous_core,local,193677,124612,69065,0.35659887338197105,4513952
case_046,2,2,a2_b1,a2_b1,109740,109740,0,0.0,930400
case_046,2,3,traffic_price,traffic_price,110152,109006,1146,0.01040380565037402,2664640
case_046,2,4,release_order_8,release_order_8,79918,79876,42,0.0005255386771441106,2791200
case_046,2,5,inherit_previous_core,release_order_8,117768,79876,37892,0.3217512397255621,2791200
case_046,3,2,a2_b1,a2_b1,109740,109740,0,0.0,930400
case_046,3,3,a2_b1,a2_b1,101343,101343,0,0.0,3958976
case_046,3,4,release_order_8,release_order_8,79918,79876,42,0.0005255386771441106,2791200
case_046,3,5,cache_price,cache_price,107914,77543,30371,0.28143707025965126,3815808
case_047,1,2,whole_graph,whole_graph,819149,326508,492641,0.6014058492411026,0
case_047,1,3,whole_graph,whole_graph,578210,326508,251702,0.4353124297400598,0
case_047,1,4,whole_graph,whole_graph,451840,326508,125332,0.27738137393767703,0
case_047,1,5,whole_graph,whole_graph,385096,326508,58588,0.15213868749610482,0
case_047,2,2,a2_b1,a2_b1,171716,171716,0,0.0,2958822
case_047,2,3,a2_b1,a2_b1,132476,132476,0,0.0,3835052
case_047,2,4,a2_b1,a2_b1,123373,123373,0,0.0,4874194
case_047,2,5,inherit_previous_core,a2_b1,125254,123373,1881,0.015017484471553821,4874194
case_047,3,2,a2_b1,a2_b1,171708,171708,0,0.0,2958822
case_047,3,3,a2_b1,a2_b1,131396,131396,0,0.0,3835052
case_047,3,4,a2_b1,a2_b1,117389,117389,0,0.0,4874194
case_047,3,5,a2_b1,a2_b1,115113,115113,0,0.0,5392600
case_048,1,2,local,local,234231,193496,40735,0.17390951667371102,2406274
case_048,1,3,local,local,168203,162475,5728,0.03405408940387511,2253814
case_048,1,4,local,local,158531,149328,9203,0.0580517375150601,2238354
case_048,1,5,local,local,157964,147633,10331,0.06540097743789719,2248428
case_048,2,2,a2_b1,a2_b1,127549,127549,0,0.0,985126
case_048,2,3,a2_b1,a2_b1,96856,96856,0,0.0,997546
case_048,2,4,inherit_previous_core,a2_b1,98674,96856,1818,0.01842430630155867,997546
case_048,2,5,inherit_previous_core,a2_b1,99406,96856,2550,0.025652375108142333,997546
case_048,3,2,a2_b1,a2_b1,127319,127319,0,0.0,985126
case_048,3,3,a2_b1,a2_b1,96722,96722,0,0.0,997546
case_048,3,4,inherit_previous_core,a2_b1,98201,96722,1479,0.015060946426207478,997546
case_048,3,5,inherit_previous_core,a2_b1,98965,96722,2243,0.022664578386298206,997546
case_049,1,2,budget_0.05,budget_0.05,338080,169872,168208,0.49753904401325133,2047466
case_049,1,3,inherit_previous_core,budget_0.05,239113,169872,69241,0.28957438533245783,2047466
case_049,1,4,local,local,205955,157353,48602,0.23598358864800562,4900328
case_049,1,5,local,local,170413,138881,31532,0.1850328320022534,4855490
case_049,2,2,a2_b1,a2_b1,107617,107617,0,0.0,2551462
case_049,2,3,a2_b1,a2_b1,85994,85994,0,0.0,3253580
case_049,2,4,traffic_price,traffic_price,86043,76675,9368,0.1088757946608091,1936816
case_049,2,5,traffic_price,traffic_price,84956,74159,10797,0.12708931682282598,2161878
case_049,3,2,a2_b1,a2_b1,107590,107590,0,0.0,2551462
case_049,3,3,a2_b1,a2_b1,82483,82483,0,0.0,3253580
case_049,3,4,traffic_price,traffic_price,79929,76318,3611,0.0451775951156651,1936816
case_049,3,5,cache_price,cache_price,77346,67782,9564,0.12365216042199989,2159446
case_050,1,2,budget_0.05,budget_0.05,276952,115741,161211,0.5820900372627748,1028490
case_050,1,3,inherit_previous_core,budget_0.05,192587,115741,76846,0.39901966384023846,1028490
case_050,1,4,local,local,152635,111297,41338,0.27082910210633215,2511788
case_050,1,5,budget_0.05,budget_0.05,133708,110812,22896,0.17123881891883808,1017748
case_050,2,2,a2_b1,a2_b1,81223,81223,0,0.0,1230124
case_050,2,3,a2_b1,a2_b1,61819,61819,0,0.0,1616018
case_050,2,4,a2_b1,a2_b1,56239,56239,0,0.0,1903576
case_050,2,5,a2_b1,a2_b1,53277,53277,0,0.0,1997128
case_050,3,2,cache_order_2,cache_order_2,81220,81204,16,0.0001969958138389183,1230124
case_050,3,3,a2_b1,a2_b1,61278,61278,0,0.0,1616018
case_050,3,4,a2_b1,a2_b1,53539,53539,0,0.0,1903576
case_050,3,5,a2_b1,a2_b1,49485,49485,0,0.0,1997128
case_051,1,2,budget_0.10,budget_0.10,444776,425966,18810,0.04229095095059088,9045718
case_051,1,3,budget_0.10,budget_0.10,373707,370560,3147,0.008421035731201232,9045718
case_051,1,4,local,local,337317,333324,3993,0.011837529682761305,9045830
case_051,1,5,local,local,320414,315468,4946,0.015436279313638002,9046102
case_051,2,2,traffic_price,traffic_price,318754,317736,1018,0.0031936854125752534,860
case_051,2,3,a2_b1,a2_b1,227452,227452,0,0.0,960
case_051,2,4,traffic_price,traffic_price,178386,178382,4,2.2423284338435323e-05,1236
case_051,2,5,traffic_price,traffic_price,168374,167274,1100,0.006533075177877823,1468
case_051,3,2,traffic_price,traffic_price,317922,317736,186,0.0005850491630022825,860
case_051,3,3,a2_b1,a2_b1,227452,227452,0,0.0,960
case_051,3,4,traffic_price,traffic_price,178386,178382,4,2.2423284338435323e-05,1236
case_051,3,5,traffic_price,traffic_price,167410,167274,136,0.0008123767994743236,1468
case_052,1,2,local,local,103693,90842,12851,0.1239331488142883,102912
case_052,1,3,local,local,69384,60905,8479,0.12220396633229558,156672
case_052,1,4,local,local,55465,45478,9987,0.1800594969800775,254976
case_052,1,5,local,local,43936,37356,6580,0.1497632920611799,328704
case_052,2,2,a2_b1,a2_b1,90965,90965,0,0.0,98304
case_052,2,3,release_order_8,release_order_8,61913,61672,241,0.0038925589133138594,156672
case_052,2,4,release_order_8,release_order_8,47599,46476,1123,0.02359293262463502,254976
case_052,2,5,release_order_8,release_order_8,39101,35058,4043,0.10339889005396286,324096
case_052,3,2,cache_order_1,cache_order_1,90965,90475,490,0.0053866871873797795,98304
case_052,3,3,release_order_8,release_order_8,61859,61499,360,0.005819686706865612,156672
case_052,3,4,release_order_8,release_order_8,47599,46414,1185,0.02489548099749994,254976
case_052,3,5,release_order_8,release_order_8,38674,34177,4497,0.11627967109686099,324096
case_053,1,2,budget_0.05,budget_0.05,1325038,791480,533558,0.4026737346400632,17917416
case_053,1,3,budget_0.10,budget_0.10,935946,623912,312034,0.33338889209420197,19848484
case_053,1,4,budget_0.05,budget_0.05,784273,532892,251381,0.3205274183861997,17917416
case_053,1,5,budget_0.05,budget_0.05,689754,511100,178654,0.2590111836973762,17958208
case_053,2,2,a2_b1,a2_b1,737353,737353,0,0.0,10450306
case_053,2,3,traffic_price,traffic_price,563816,559207,4609,0.008174652723583531,10308704
case_053,2,4,traffic_price,traffic_price,514150,475733,38417,0.07471943985218321,12902072
case_053,2,5,traffic_price,traffic_price,476406,458321,18085,0.037961318707153135,15277446
case_053,3,2,cache_order_1,cache_order_1,734967,734829,138,0.00018776353224025932,10450306
case_053,3,3,a4_b0,a4_b0,546113,532507,13606,0.024914257671946993,14610922
case_053,3,4,a4_b0,a4_b0,471266,457528,13738,0.029151264890741158,17115858
case_053,3,5,a4_b0,a4_b0,431910,415705,16205,0.037519390613785286,17261944
case_054,1,2,budget_0.10,budget_0.10,1264638,537888,726750,0.5746703799822558,9221734
case_054,1,3,budget_0.05,budget_0.05,879050,483822,395228,0.4496080996530345,6638978
case_054,1,4,inherit_previous_core,budget_0.05,685857,483822,202035,0.29457306698043473,6638978
case_054,1,5,budget_0.05,budget_0.05,580207,451655,128552,0.22156230448788106,6596450
case_054,2,2,a4_b0,a4_b0,427191,417135,10056,0.023539821765907964,6036588
case_054,2,3,a2_b1,a2_b1,331512,331512,0,0.0,9687536
case_054,2,4,a2_b1,a2_b1,298109,298109,0,0.0,11105622
case_054,2,5,traffic_price,traffic_price,285515,284035,1480,0.005183615571861422,7881248
case_054,3,2,a4_b0,a4_b0,426900,416795,10105,0.023670648863902577,6036588
case_054,3,3,a2_b1,a2_b1,324485,324485,0,0.0,9687536
case_054,3,4,a2_b1,a2_b1,279993,279993,0,0.0,11105622
case_054,3,5,a2_b1,a2_b1,259251,259251,0,0.0,12061760
case_055,1,2,local,local,65427,60415,5012,0.0766044599324438,74240
case_055,1,3,local,local,46044,44260,1784,0.03874554773694727,132096
case_055,1,4,budget_0.05,budget_0.05,37944,35056,2888,0.076112165296226,325656
case_055,1,5,budget_0.05,budget_0.05,34227,31540,2687,0.07850527361439796,436294
case_055,2,2,traffic_price,traffic_price,53537,53535,2,3.735734165155602e-05,16384
case_055,2,3,a4_b0,a4_b0,38936,38226,710,0.018235052393671625,335158
case_055,2,4,a2_b1,a2_b1,30163,30163,0,0.0,226880
case_055,2,5,a2_b1,a2_b1,22386,22386,0,0.0,452748
case_055,3,2,cache_price,cache_price,53537,53430,107,0.0019986177783588577,16384
case_055,3,3,a4_b0,a4_b0,38936,38219,717,0.018414834600369856,335158
case_055,3,4,a2_b1,a2_b1,30059,30059,0,0.0,226880
case_055,3,5,a2_b1,a2_b1,21616,21616,0,0.0,452748
case_056,1,2,whole_graph,whole_graph,559729,277285,282444,0.5046084801752276,0
case_056,1,3,budget_0.10,budget_0.10,395044,276929,118115,0.2989920110164944,5093372
case_056,1,4,local,local,314173,251411,62762,0.1997689171252781,7730902
case_056,1,5,local,local,261491,237367,24124,0.09225556520109679,7700090
case_056,2,2,a2_b1,a2_b1,152665,152665,0,0.0,3454870
case_056,2,3,a2_b1,a2_b1,122427,122427,0,0.0,4599900
case_056,2,4,inherit_previous_core,a2_b1,123376,122427,949,0.007691933601348677,4599900
case_056,2,5,traffic_price,traffic_price,123505,121094,2411,0.01952147686328487,4404870
case_056,3,2,cache_order_2,cache_order_2,152425,152142,283,0.0018566508118746938,3454870
case_056,3,3,a2_b1,a2_b1,121154,121154,0,0.0,4599900
case_056,3,4,a2_b1,a2_b1,113517,113517,0,0.0,5696618
case_056,3,5,a2_b1,a2_b1,111120,111120,0,0.0,6011422
case_057,1,2,budget_0.05,budget_0.05,40930,31132,9798,0.2393843146836061,95792
case_057,1,3,budget_0.05,budget_0.05,33312,21637,11675,0.3504743035542748,151112
case_057,1,4,budget_0.05,budget_0.05,28399,17060,11339,0.3992746223458572,151112
case_057,1,5,inherit_previous_core,budget_0.05,25111,17060,8051,0.32061646290470314,151112
case_057,2,2,a4_b0,a4_b0,31868,30954,914,0.02868080833437936,227296
case_057,2,3,a2_b1,a2_b1,22236,22236,0,0.0,356182
case_057,2,4,a2_b1,a2_b1,18928,18928,0,0.0,382276
case_057,2,5,a2_b1,a2_b1,16977,16977,0,0.0,508530
case_057,3,2,a4_b0,a4_b0,31155,29928,1227,0.03938372652864708,227296
case_057,3,3,cache_order_1,cache_order_1,21775,21686,89,0.004087256027554553,356182
case_057,3,4,cache_order_1,cache_order_1,17517,17228,289,0.016498258834275248,382276
case_057,3,5,a2_b1,a2_b1,15308,15308,0,0.0,508530
case_058,1,2,local,local,2275721,2271316,4405,0.0019356502840198742,33431552
case_058,1,3,local,local,1806745,1554831,251914,0.139429747972182,30400512
case_058,1,4,local,local,1792969,1154519,638450,0.3560853533998636,42622976
case_058,1,5,local,local,1784441,1004819,779622,0.4368998470669526,32104448
case_058,2,2,a4_b0,a4_b0,4609376,2271316,2338060,0.5072400255479267,33431552
case_058,2,3,a4_b0,a4_b0,3572112,1554831,2017281,0.5647306131498677,30400512
case_058,2,4,a4_b0,a4_b0,3163021,1154519,2008502,0.6349948356334023,42622976
case_058,2,5,a4_b0,a4_b0,2985453,1004819,1980634,0.6634282971461952,32104448
case_058,3,2,a4_b0,a4_b0,4611377,2270206,2341171,0.5076945563114879,33431552
case_058,3,3,a4_b0,a4_b0,3447219,1554831,1892388,0.5489607709866997,30400512
case_058,3,4,a4_b0,a4_b0,3132764,1142629,1990135,0.6352648970685312,42622976
case_058,3,5,a4_b0,a4_b0,2629460,1004819,1624641,0.6178610817430195,32104448
case_059,1,2,local,local,385500,369318,16182,0.041976653696498056,360448
case_059,1,3,local,local,268460,266217,2243,0.008355062206660158,2998272
case_059,1,4,local,local,198236,185216,13020,0.0656792913497044,1081344
case_059,1,5,local,local,163124,150782,12342,0.07566023393246857,4325376
case_059,2,2,a2_b1,a2_b1,369318,369318,0,0.0,360448
case_059,2,3,a4_b0,a4_b0,414006,266217,147789,0.3569730873465602,2998272
case_059,2,4,a2_b1,a2_b1,185216,185216,0,0.0,1081344
case_059,2,5,traffic_price,traffic_price,150782,150782,0,0.0,2072576
case_059,3,2,a2_b1,a2_b1,369318,369318,0,0.0,360448
case_059,3,3,a4_b0,a4_b0,393418,262333,131085,0.3331952274679857,2998272
case_059,3,4,a2_b1,a2_b1,185216,185216,0,0.0,1081344
case_059,3,5,traffic_price,traffic_price,150736,150736,0,0.0,2072576
case_060,1,2,local,local,460975,443469,17506,0.03797602906882147,2632844
case_060,1,3,local,local,311708,295111,16597,0.05324534500237399,3453056
case_060,1,4,local,local,235345,223785,11560,0.0491193779345217,3762432
case_060,1,5,local,local,199873,183959,15914,0.07962055905499987,4262280
case_060,2,2,a4_b0,a4_b0,669401,446786,222615,0.3325585112660423,1638656
case_060,2,3,a4_b0,a4_b0,537491,301953,235538,0.438217570154663,2727168
case_060,2,4,a4_b0,a4_b0,395591,233089,162502,0.4107828540083066,3623168
case_060,2,5,a4_b0,a4_b0,289801,187069,102732,0.35449153039499515,4155776
case_060,3,2,a4_b0,a4_b0,665328,446096,219232,0.32950965538801913,1638656
case_060,3,3,a4_b0,a4_b0,521212,301233,219979,0.4220528307099606,2727168
case_060,3,4,a4_b0,a4_b0,384025,232404,151621,0.39482064969728536,3623168
