case,q,k,selected,effective_origin,seed_makespan,selected_makespan,cycles_saved,fraction_saved,added_copy_bytes
case_006,3,5,cache_order_1,cache_order_1,18888,18615,273,0.01445362134688688,310456
case_007,1,2,local,local,659110,507494,151616,0.23003140598686111,27648
case_007,1,3,local,local,476830,338094,138736,0.29095484763962,55296
case_007,1,4,local,local,390534,254398,136136,0.3485893673790246,82944
case_007,1,5,local,local,365534,203834,161700,0.4423665103656568,110592
case_007,2,2,a2_b1,a2_b1,507494,507494,0,0.0,27648
case_007,2,3,a2_b1,a2_b1,338094,338094,0,0.0,55296
case_007,2,4,a2_b1,a2_b1,254398,254398,0,0.0,82944
case_007,2,5,a2_b1,a2_b1,203834,203834,0,0.0,110592
case_007,3,2,a2_b1,a2_b1,507494,507494,0,0.0,27648
case_007,3,3,a2_b1,a2_b1,338094,338094,0,0.0,55296
case_007,3,4,a2_b1,a2_b1,254398,254398,0,0.0,82944
case_007,3,5,a2_b1,a2_b1,203834,203834,0,0.0,110592
case_008,1,2,local,local,282320,244266,38054,0.13479030886936805,0
case_008,1,3,local,local,199304,163359,35945,0.1803526271424557,0
case_008,1,4,local,local,157796,123060,34736,0.22013232274582373,0
case_008,1,5,local,local,134736,100603,34133,0.2533324427027669,0
case_008,2,2,a2_b1,a2_b1,244266,244266,0,0.0,0
case_008,2,3,a2_b1,a2_b1,163359,163359,0,0.0,0
case_008,2,4,a2_b1,a2_b1,123060,123060,0,0.0,0
case_008,2,5,a2_b1,a2_b1,100603,100603,0,0.0,0
case_008,3,2,a2_b1,a2_b1,244266,244266,0,0.0,0
case_008,3,3,a2_b1,a2_b1,163359,163359,0,0.0,0
case_008,3,4,a2_b1,a2_b1,123060,123060,0,0.0,0
case_008,3,5,a2_b1,a2_b1,100603,100603,0,0.0,0
case_009,1,2,budget_0.05,budget_0.05,295167,99793,195374,0.661910037368676,602250
case_009,1,3,inherit_previous_core,budget_0.05,207154,99793,107361,0.5182666035896,602250
case_009,1,4,inherit_previous_core,budget_0.05,183578,99793,83785,0.4564000043578207,602250
case_009,1,5,inherit_previous_core,budget_0.05,161572,99793,61779,0.3823620429282302,602250
case_009,2,2,a2_b1,a2_b1,85594,85594,0,0.0,517094
case_009,2,3,a2_b1,a2_b1,64805,64805,0,0.0,772460
case_009,2,4,a4_b0,a4_b0,56022,55453,569,0.010156724144086304,914162
case_009,2,5,a4_b0,a4_b0,51946,51379,567,0.010915181149655395,864856
case_009,3,2,a2_b1,a2_b1,85594,85594,0,0.0,517094
case_009,3,3,a2_b1,a2_b1,64756,64756,0,0.0,772460
case_009,3,4,a4_b0,a4_b0,55558,55199,359,0.006461715684509928,914162
case_009,3,5,a4_b0,a4_b0,51696,50996,700,0.013540699473847062,864856
case_010,1,2,budget_0.05,budget_0.05,58108,51360,6748,0.11612858814621052,482672
case_010,1,3,budget_0.05,budget_0.05,40151,35637,4514,0.11242559338497171,503398
case_010,1,4,budget_0.05,budget_0.05,31928,28795,3133,0.09812703583061888,482672
case_010,1,5,budget_0.05,budget_0.05,29396,23710,5686,0.19342767723499799,503398
case_010,2,2,a2_b1,a2_b1,44343,44343,0,0.0,261472
case_010,2,3,traffic_price,traffic_price,30985,30122,863,0.027852186541875046,113236
case_010,2,4,a2_b1,a2_b1,23526,23526,0,0.0,298760
case_010,2,5,traffic_price,traffic_price,20201,19833,368,0.018216919954457733,347116
case_010,3,2,cache_order_1,cache_order_1,44343,44304,39,0.0008795074758135568,261472
case_010,3,3,traffic_price,traffic_price,30985,30104,881,0.028433112796514393,113236
case_010,3,4,a4_b0,a4_b0,23526,22556,970,0.04123097849188129,325896
case_010,3,5,cache_price,cache_price,19304,19300,4,0.00020721094073772317,347128
case_011,1,2,local,local,96300,92646,3654,0.03794392523364487,180224
case_011,1,3,local,local,72892,69625,3267,0.0448197333040663,1081344
case_011,1,4,local,local,49484,46880,2604,0.05262307008325928,540672
case_011,1,5,inherit_previous_core,local,49484,46880,2604,0.05262307008325928,540672
case_011,2,2,a2_b1,a2_b1,92646,92646,0,0.0,180224
case_011,2,3,traffic_price,traffic_price,69625,69625,0,0.0,540672
case_011,2,4,a2_b1,a2_b1,46880,46880,0,0.0,540672
case_011,2,5,traffic_price,traffic_price,47287,46777,510,0.010785205236111373,811008
case_011,3,2,a2_b1,a2_b1,92646,92646,0,0.0,180224
case_011,3,3,cache_order_2,cache_order_2,69625,69621,4,5.745062836626236e-05,1081344
case_011,3,4,a2_b1,a2_b1,46880,46880,0,0.0,540672
case_011,3,5,traffic_price,traffic_price,46777,46777,0,0.0,811008
case_012,1,2,budget_0.05,budget_0.05,40545,32065,8480,0.20915032679738566,69056
case_012,1,3,local,local,27891,23722,4169,0.14947474095586388,71040
case_012,1,4,budget_0.05,budget_0.05,22580,17882,4698,0.20806023029229403,69696
case_012,1,5,budget_0.05,budget_0.05,19350,15315,4035,0.20852713178294568,79960
case_012,2,2,release_order_4,release_order_4,29932,27957,1975,0.06598289456100492,51904
case_012,2,3,pipeline_finish,pipeline_finish,19227,18718,509,0.026473188744994047,76032
case_012,2,4,traffic_price,traffic_price,15816,15475,341,0.02156044511886701,63872
case_012,2,5,a2_b1,a2_b1,13956,13956,0,0.0,195190
case_012,3,2,release_order_4,release_order_4,29932,27957,1975,0.06598289456100492,51904
case_012,3,3,cache_order_1,cache_order_1,19227,18269,958,0.049825765850106674,62848
case_012,3,4,cache_price,cache_price,15816,15475,341,0.02156044511886701,63872
case_012,3,5,a2_b1,a2_b1,12938,12938,0,0.0,195190
case_013,1,2,local,local,186122,132198,53924,0.2897239445095152,8192
case_013,1,3,local,local,132658,88351,44307,0.3339941805243558,16384
case_013,1,4,local,local,108774,66982,41792,0.3842094618199202,24576
case_013,1,5,local,local,102984,54363,48621,0.47212188301095315,32768
case_013,2,2,a2_b1,a2_b1,132198,132198,0,0.0,8192
case_013,2,3,a2_b1,a2_b1,88351,88351,0,0.0,16384
case_013,2,4,a2_b1,a2_b1,66982,66982,0,0.0,24576
case_013,2,5,a2_b1,a2_b1,54363,54363,0,0.0,32768
case_013,3,2,a2_b1,a2_b1,132198,132198,0,0.0,8192
case_013,3,3,a2_b1,a2_b1,88351,88351,0,0.0,16384
case_013,3,4,a2_b1,a2_b1,66982,66982,0,0.0,24576
